TESTOPID	TESTNAME	TESTSTART	TESTEND	PRODUCTTESTID	SERIALNUMBER	REVTIMEORDER	OPERATIONREPORT	FIRMWARE_VERSION	KALMAN_FILTER	MAG_DECL	ACC_GAIN_X	ACC_GAIN_Y	ACC_GAIN_Z	ACC_OFFSET_X	ACC_OFFSET_Y	ACC_OFFSET_Z	GYRO_GAIN_X	GYRO_GAIN_Y	GYRO_GAIN_Z	MAG_XMIN	MAG_XMAX	MAG_YMIN	MAG_YMAX	MAG_ZMIN	MAG_ZMAX	MAG_ROT_XX	MAG_ROT_XY	MAG_ROT_XZ	MAG_ROT_YX	MAG_ROT_YY	MAG_ROT_YZ	MAG_ROT_ZX	MAG_ROT_ZY	MAG_ROT_ZZ	GYRO_ROT_XX	GYRO_ROT_XY	GYRO_ROT_XZ	GYRO_ROT_YX	GYRO_ROT_YY	GYRO_ROT_YZ	GYRO_ROT_ZX	GYRO_ROT_ZY	GYRO_ROT_ZZ	ACC_ROT_XX	ACC_ROT_XY	ACC_ROT_XZ	ACC_ROT_YX	ACC_ROT_YY	ACC_ROT_YZ	ACC_ROT_ZX	ACC_ROT_ZY	ACC_ROT_ZZ
A02860170	AHRS-CALIBRATION-v3	2020/07/10-11:40:42	2020/07/10-11:40:42	A02860171	880	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.055475	-0.038969	-0.018192	8.66	8.66	8.66	-0.98632	1.0137	-1.0651	0.93493	1.0361	-0.9639	0.96808	0.018941	-0.0036229	0.018941	1.0125	-0.007697	-0.0036229	-0.007697	1.0207	1	0	0	0	1	0	0	0	1	1.0114	0.013045	-0.0019296	0.013045	0.99336	0.0088053	-0.0019296	0.0088053	0.99559
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831857	881	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.024106	0.0042788	0.010542	8.66	8.66	8.66	-1.0189	0.98107	-0.99339	1.0066	1.0333	-0.96671	0.9725	0.016471	-0.0037216	0.016471	1.0066	-0.010212	-0.0037216	-0.010212	1.0219	1	0	0	0	1	0	0	0	1	0.97738	-0.0084577	-0.0026615	-0.0084577	1.002	-0.0049964	-0.0026615	-0.0049964	1.0212
A02896889	AHRS-CALIBRATION-v3	2020/11/06-12:37:30	2020/11/06-12:37:30	A02896890	883	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.029941	-0.0095111	-0.0047846	8.66	8.66	8.66	-0.9643	1.0357	-1.0381	0.96192	1.0015	-0.99854	0.97603	0.017062	-0.0046807	0.017062	1.0136	-0.011413	-0.0046807	-0.011413	1.0112	1	0	0	0	1	0	0	0	1	0.9961	-0.31162	0.0079949	-0.31162	1.0207	-0.0052119	0.0079949	-0.0052119	1.0875
A02860172	AHRS-CALIBRATION-v3	2020/07/13-03:50:32	2020/07/13-03:50:32	A02860173	884	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.0020486	-0.02355	0.009906	8.66	8.66	8.66	-1.0202	0.97976	-1.0658	0.93417	1.0321	-0.96794	0.96893	0.019585	-0.0085879	0.019585	1.0287	-0.0092271	-0.0085879	-0.0092271	1.0038	1	0	0	0	1	0	0	0	1	0.99373	-0.011334	-0.0028614	-0.011334	1.0099	-0.0075407	-0.0028614	-0.0075407	0.99664
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831858	885	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.0060947	-0.0071731	-0.0061361	8.66	8.66	8.66	-0.9782	1.0218	-1.0236	0.97637	1.0233	-0.97674	0.96873	0.017605	-0.0061635	0.017605	1.0163	-0.01036	-0.0061635	-0.01036	1.0161	1	0	0	0	1	0	0	0	1	1.0097	-0.0080077	-0.0031878	-0.0080077	1.0038	-0.0014808	-0.0031878	-0.0014808	0.98669
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831859	886	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.04631	-0.040442	-0.0071406	8.66	8.66	8.66	-1.02	0.98001	-1.017	0.98305	1.015	-0.98501	0.97095	0.013905	-0.0041708	0.013905	1.0204	-0.010849	-0.0041708	-0.010849	1.0096	1	0	0	0	1	0	0	0	1	0.99819	-0.0092633	0.0051922	-0.0092633	0.98844	-0.0048712	0.0051922	-0.0048712	1.0137
A02860174	AHRS-CALIBRATION-v3	2020/08/03-01:28:25	2020/08/03-01:28:25	A02860175	887	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.056963	-0.0051356	0.0053468	8.66	8.66	8.66	-0.95414	1.0459	-1.025	0.97496	1.0094	-0.99062	0.97286	0.018081	-0.004703	0.018081	1.0145	-0.005418	-0.004703	-0.005418	1.0136	1	0	0	0	1	0	0	0	1	0.98881	-0.0010622	-0.0021602	-0.0010622	1.0035	-0.00020657	-0.0021602	-0.00020657	1.0078
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831860	889	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.0037991	-0.014317	0.0048861	8.66	8.66	8.66	-0.97963	1.0204	-1.0202	0.97978	0.97848	-1.0215	0.97307	0.014341	-0.0019457	0.014341	1.0088	-0.010392	-0.0019457	-0.010392	1.019	1	0	0	0	1	0	0	0	1	1.0046	-0.0028295	0.00097101	-0.0028295	0.99032	-0.0030907	0.00097101	-0.0030907	1.0052
A02904604	AHRS-CALIBRATION-v3	2020/11/18-12:40:46	2020/11/18-12:40:46	A02904605	890	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.022182	0.02381	-0.0092142	8.66	8.66	8.66	-0.96707	1.0329	-1.0291	0.97087	1.0254	-0.97458	0.97543	0.015758	-0.0057017	0.015758	1.0163	-0.0073228	-0.0057017	-0.0073228	1.0091	1	0	0	0	1	0	0	0	1	0.99629	-0.086723	-0.0018546	-0.086723	0.99046	0.0041538	-0.0018546	0.0041538	1.0212
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831861	891	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.020853	-0.0035427	-0.0080938	8.66	8.66	8.66	-0.97296	1.027	-1.0805	0.91949	1.0394	-0.96056	0.96206	0.019182	-0.0053695	0.019182	1.0121	-0.0075076	-0.0053695	-0.0075076	1.0275	1	0	0	0	1	0	0	0	1	0.99666	-0.0089345	-0.0030167	-0.0089345	0.99149	-0.0041098	-0.0030167	-0.0041098	1.0121
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831862	892	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.0086293	-0.012718	-0.022004	8.66	8.66	8.66	-0.98726	1.0127	-1.0663	0.93368	1.0199	-0.98013	0.97044	0.015659	-0.0012012	0.015659	1.0159	-0.011708	-0.0012012	-0.011708	1.0147	1	0	0	0	1	0	0	0	1	0.99794	0.0021689	0.0024829	0.0021689	0.98772	-0.0013826	0.0024829	-0.0013826	1.0145
A02860176	AHRS-CALIBRATION-v3	2020/07/10-03:39:44	2020/07/10-03:39:44	A02860177	895	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.0005517	0.0040293	6.8624e-05	8.66	8.66	8.66	-1.0113	0.98875	-1.0117	0.9883	1.0339	-0.96608	0.97142	0.018712	-0.0041618	0.018712	1.0206	-0.0081421	-0.0041618	-0.0081421	1.0091	1	0	0	0	1	0	0	0	1	0.98083	0.0068329	0.0047347	0.0068329	0.99814	0.0040628	0.0047347	0.0040628	1.0215
A02896767	AHRS-CALIBRATION-v3	2020/11/01-10:26:56	2020/11/01-10:26:56	A02896768	899	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.055362	-0.014885	-0.0021782	8.66	8.66	8.66	-0.96308	1.0369	-1.0296	0.97037	1.0255	-0.97452	0.98251	0.011659	-0.0047763	0.011659	1.0097	-0.013023	-0.0047763	-0.013023	1.0084	1	0	0	0	1	0	0	0	1	1.0315	-0.23996	0.014593	-0.23996	0.97065	0.0082789	0.014593	0.0082789	1.0601
A02883707	AHRS-CALIBRATION-v3	2020/10/27-09:06:18	2020/10/27-09:06:18	A02883708	905	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.024588	-0.0023557	0.010733	8.66	8.66	8.66	-0.96187	1.0381	-1.0269	0.97307	1.0436	-0.95641	0.96623	0.015977	-0.0034941	0.015977	1.0141	-0.010665	-0.0034941	-0.010665	1.0209	1	0	0	0	1	0	0	0	1	1.0066	-0.25794	0.0057832	-0.25794	1.0064	0.0064778	0.0057832	0.0064778	1.0565
A02896943	AHRS-CALIBRATION-v3	2020/11/08-12:37:58	2020/11/08-12:37:58	A02896944	906	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.009044	-0.018652	0.0030963	8.66	8.66	8.66	-0.96707	1.0329	-1.0204	0.97963	1.0253	-0.97471	0.97326	0.014271	-0.0029391	0.014271	1.0119	-0.0093818	-0.0029391	-0.0093818	1.0157	1	0	0	0	1	0	0	0	1	0.99293	-0.061508	0.018932	-0.061508	1.011	0.0034828	0.018932	0.0034828	1.0003
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831863	908	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.0034061	0.01042	-0.0080977	8.66	8.66	8.66	-0.95705	1.0429	-1.0277	0.97233	1.0232	-0.97676	0.96773	0.020279	-0.0036975	0.020279	1.017	-0.012459	-0.0036975	-0.012459	1.0167	1	0	0	0	1	0	0	0	1	0.99158	-0.0039696	-0.0030554	-0.0039696	0.98298	0.0017842	-0.0030554	0.0017842	1.026
