DETOID	DETID	DETTIME	DUID	FLOORID	PMTID	CABLEPOS	DUUPI	DOMUPI	CLBUPI	PMTUPI	DUSER	DOMSER	CLBSER	PMTSER	DOMID
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	1	1	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10685	22	292	251	10685	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	2	2	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10708	22	292	251	10708	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	3	3	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10714	22	292	251	10714	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	4	4	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10710	22	292	251	10710	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	5	5	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10709	22	292	251	10709	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	6	6	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10702	22	292	251	10702	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	7	7	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10701	22	292	251	10701	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	8	8	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10704	22	292	251	10704	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	9	9	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10703	22	292	251	10703	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	10	10	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10705	22	292	251	10705	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	11	11	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10758	22	292	251	10758	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	12	12	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12551	22	292	251	12551	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	13	13	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12485	22	292	251	12485	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	14	14	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12634	22	292	251	12634	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	15	15	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12553	22	292	251	12553	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	16	16	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12547	22	292	251	12547	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	17	17	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12541	22	292	251	12541	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	18	18	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12644	22	292	251	12644	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	19	19	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12555	22	292	251	12555	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	20	20	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12546	22	292	251	12546	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	21	21	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12544	22	292	251	12544	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	22	22	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12549	22	292	251	12549	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	23	23	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12554	22	292	251	12554	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	24	24	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12548	22	292	251	12548	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	25	25	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12542	22	292	251	12542	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	26	26	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/1.12543	22	292	251	12543	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	27	27	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10843	22	292	251	10843	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	28	28	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10845	22	292	251	10845	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	29	29	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10842	22	292	251	10842	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	30	30	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10836	22	292	251	10836	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	-1	-1	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	//.	22	293	47		808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	0	0	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.13283	22	293	47	13283	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	1	1	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.13284	22	293	47	13284	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	2	2	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.13269	22	293	47	13269	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	3	3	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.13272	22	293	47	13272	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	4	4	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.13274	22	293	47	13274	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	5	5	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.7602	22	293	47	7602	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	6	6	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.7601	22	293	47	7601	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	7	7	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.7563	22	293	47	7563	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	8	8	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.7568	22	293	47	7568	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	9	9	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.7565	22	293	47	7565	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	10	10	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.7603	22	293	47	7603	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	11	11	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.7562	22	293	47	7562	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	12	12	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10844	22	293	47	10844	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	13	13	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10839	22	293	47	10839	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	14	14	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12601	22	293	47	12601	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	15	15	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12607	22	293	47	12607	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	16	16	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12616	22	293	47	12616	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	17	17	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12615	22	293	47	12615	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	18	18	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10838	22	293	47	10838	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	19	19	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12613	22	293	47	12613	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	20	20	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12611	22	293	47	12611	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	21	21	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12614	22	293	47	12614	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	22	22	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12623	22	293	47	12623	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	23	23	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12612	22	293	47	12612	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	24	24	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/1.12606	22	293	47	12606	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	25	25	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10846	22	293	47	10846	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	26	26	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10849	22	293	47	10849	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	27	27	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10840	22	293	47	10840	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	28	28	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10850	22	293	47	10850	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	29	29	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10837	22	293	47	10837	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	3	30	30	3/DU-A:FR/1.22	3.4/CH52C/4.293	3.4.3.2/V2-2-1/2.47	3.4.2.3/HAMA-R12199/2.10841	22	293	47	10841	808969848
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	-1	-1	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	//.	22	294	240		808974773
